160.0,120.0
160.0,120.0
161.0,120.0
161.0,120.0
154.0,119.0
148.0,119.0
144.0,118.0
140.0,118.0
138.0,118.0
134.0,119.0
132.0,119.0
133.0,120.0
138.0,119.0
148.0,121.0
155.0,122.0
162.0,123.0
169.0,123.0
176.0,122.0
181.0,121.0
184.0,123.0
186.0,125.0
185.0,128.0
181.0,133.0
174.0,139.0
170.0,147.0
167.0,152.0
163.0,159.0
160.0,162.0
160.0,161.0
155.0,151.0
157.0,142.0
162.0,130.0
164.0,111.0
154.0,120.0
156.0,121.0
153.0,122.0
153.0,120.0
154.0,126.0
155.0,129.0
156.0,130.0
156.0,120.0
157.0,122.0
157.0,121.0
157.0,122.0
157.0,122.0
158.0,123.0
163.0,127.0
168.0,129.0
172.0,128.0
175.0,126.0
177.0,123.0
177.0,119.0
177.0,116.0
178.0,114.0
178.0,112.0
178.0,115.0
178.0,118.0
181.0,120.0
182.0,118.0
181.0,120.0
173.0,121.0
162.0,119.0
156.0,117.0
145.0,116.0
140.0,116.0
137.0,114.0
136.0,114.0
137.0,113.0
141.0,113.0
147.0,113.0
154.0,112.0
159.0,111.0
158.0,108.0
154.0,108.0
145.0,109.0
138.0,111.0
133.0,112.0
129.0,111.0
123.0,109.0
119.0,111.0
116.0,117.0
119.0,117.0
127.0,116.0
133.0,115.0
135.0,113.0
134.0,111.0
130.0,112.0
124.0,114.0
122.0,116.0
119.0,116.0
119.0,117.0
118.0,119.0
116.0,118.0
116.0,119.0
119.0,116.0
124.0,114.0
132.0,113.0
149.0,113.0
162.0,112.0
167.0,110.0
163.0,110.0
154.0,110.0
146.0,110.0
139.0,109.0
134.0,110.0
135.0,111.0
135.0,112.0
140.0,111.0
151.0,113.0
159.0,116.0
166.0,117.0
168.0,117.0
167.0,116.0
161.0,114.0
155.0,111.0
144.0,108.0
137.0,107.0
127.0,107.0
120.0,110.0
112.0,112.0
112.0,114.0
116.0,114.0
125.0,112.0
138.0,111.0
149.0,104.0
162.0,102.0
173.0,98.0
179.0,97.0
184.0,97.0
185.0,96.0
185.0,96.0
174.0,94.0
168.0,93.0
162.0,92.0
157.0,91.0
161.0,91.0
163.0,91.0
165.0,91.0
166.0,92.0
167.0,92.0
169.0,93.0
171.0,94.0
173.0,96.0
